Depth (km), Temperature (K)
1.052420701168614272e+02,1.450959178933405838e+03,1.444014275298180337e+03
1.049749582637729475e+02,1.448732392572476101e+03,1.441661789224395989e+03
1.047078464106844677e+02,1.446505130553265644e+03,1.439308827492330693e+03
1.044407345575959880e+02,1.444277392875775377e+03,1.436955390101985586e+03
1.041736227045075083e+02,1.442049179540003934e+03,1.434601477053359531e+03
1.039065108514190428e+02,1.439820490545952680e+03,1.432247088346453438e+03
1.036393989983305488e+02,1.437591325893620706e+03,1.429892223981266852e+03
1.033722871452420691e+02,1.435361685583008239e+03,1.427536883957799546e+03
1.031051752921535751e+02,1.433131569614115733e+03,1.425181068276052201e+03
1.028380634390650954e+02,1.430900977986942735e+03,1.422824776936024364e+03
1.025709515859766299e+02,1.428669910701489016e+03,1.420468009937716261e+03
1.023038397328881501e+02,1.426438367757755259e+03,1.418110767281127437e+03
1.020367278797996704e+02,1.424206349155740781e+03,1.415753048966258348e+03
1.017696160267111907e+02,1.421973854895446266e+03,1.413394854993108993e+03
1.015025041736226967e+02,1.419740884976871257e+03,1.411036185361679145e+03
1.012353923205342170e+02,1.417507439400015528e+03,1.408677040071968804e+03
1.009682804674457230e+02,1.415273518164879533e+03,1.406317419123978198e+03
1.007011686143572575e+02,1.413039121271463500e+03,1.403957322517707325e+03
1.004340567612687920e+02,1.410804248719766747e+03,1.401596750253155733e+03
1.001669449081802981e+02,1.408568900509789728e+03,1.399235702330323875e+03
9.989983305509181832e+01,1.406333076641531989e+03,1.396874178749211524e+03
9.963272120200333859e+01,1.404096777114993984e+03,1.394512179509818907e+03
9.936560934891484465e+01,1.401860001930175940e+03,1.392149704612145570e+03
9.909849749582637912e+01,1.399622751087076949e+03,1.389786754056192194e+03
9.883138564273789939e+01,1.397385024585697920e+03,1.387423327841958326e+03
9.856427378964941965e+01,1.395146822426038398e+03,1.385059425969443964e+03
9.829716193656093992e+01,1.392908144608098610e+03,1.382695048438649565e+03
9.803005008347244598e+01,1.390668991131878329e+03,1.380330195249574217e+03
9.776293823038396624e+01,1.388429361997377327e+03,1.377964866402218831e+03
9.749582637729548651e+01,1.386189257204596061e+03,1.375599061896582725e+03
9.722871452420700678e+01,1.383948676753534755e+03,1.373232781732666581e+03
9.696160267111852704e+01,1.381707620644192730e+03,1.370866025910469943e+03
9.669449081803006152e+01,1.379466088876570666e+03,1.368498794429992813e+03
9.642737896494156757e+01,1.377224081450667654e+03,1.366131087291235417e+03
9.616026711185308784e+01,1.374981598366484377e+03,1.363762904494197301e+03
9.589315525876459390e+01,1.372738639624020834e+03,1.361394246038878919e+03
9.562604340567611416e+01,1.370495205223277026e+03,1.359025111925280271e+03
9.535893155258764864e+01,1.368251295164252724e+03,1.356655502153401358e+03
9.509181969949915469e+01,1.366006909446947930e+03,1.354285416723241497e+03
9.482470784641068917e+01,1.363762048071362642e+03,1.351914855634801825e+03
9.455759599332220944e+01,1.361516711037497089e+03,1.349543818888081432e+03
9.429048414023371549e+01,1.359270898345351270e+03,1.347172306483080774e+03
9.402337228714523576e+01,1.357024609994924504e+03,1.344800318419799396e+03
9.375626043405677024e+01,1.354777845986218153e+03,1.342427854698237979e+03
9.348914858096827629e+01,1.352530606319230856e+03,1.340054915318396297e+03
9.322203672787979656e+01,1.350282890993963065e+03,1.337681500280273667e+03
9.295492487479131682e+01,1.348034700010415236e+03,1.335307609583870999e+03
9.268781302170283709e+01,1.345786033368586686e+03,1.332933243229187610e+03
9.242070116861435736e+01,1.343536891068478099e+03,1.330558401216224411e+03
9.215358931552586341e+01,1.341287273110088790e+03,1.328183083544980036e+03
9.188647746243739789e+01,1.339037179493419444e+03,1.325807290215456078e+03
9.161936560934891816e+01,1.336786610218469150e+03,1.323431021227651172e+03
9.135225375626042421e+01,1.334535565285238818e+03,1.321054276581566000e+03
9.108514190317195869e+01,1.332284044693728219e+03,1.318677056277200791e+03
9.081803005008346474e+01,1.330032048443936901e+03,1.316299360314554406e+03
9.055091819699498501e+01,1.327779576535865090e+03,1.313921188693628210e+03
9.028380634390650528e+01,1.325526628969513240e+03,1.311542541414421294e+03
9.001669449081802554e+01,1.323273205744880897e+03,1.309163418476934339e+03
8.974958263772954581e+01,1.321019306861967834e+03,1.306783819881166664e+03
8.948247078464106607e+01,1.318764932320774733e+03,1.304403745627118724e+03
8.921535893155258634e+01,1.316510082121301139e+03,1.302023195714790290e+03
8.894824707846410661e+01,1.314254756263547279e+03,1.299642170144181591e+03
8.868113522537561266e+01,1.311998954747512926e+03,1.297260668915292399e+03
8.841402337228714714e+01,1.309742677573197852e+03,1.294878692028122714e+03
8.814691151919866741e+01,1.307485924740602741e+03,1.292496239482672991e+03
8.787979966611017346e+01,1.305228696249727136e+03,1.290113311278942319e+03
8.761268781302169373e+01,1.302970992100570811e+03,1.287729907416931383e+03
8.734557595993322821e+01,1.300712812293134675e+03,1.285346027896640408e+03
8.707846410684473426e+01,1.298454156827417819e+03,1.282961672718068940e+03
8.681135225375625453e+01,1.296195025703420470e+03,1.280576841881216751e+03
8.654424040066778900e+01,1.293935418921143082e+03,1.278191535386084524e+03
8.627712854757929506e+01,1.291675336480584747e+03,1.275805753232671577e+03
8.601001669449081533e+01,1.289414778381746373e+03,1.273419495420978365e+03
8.574290484140232138e+01,1.287153744624627507e+03,1.271032761951004659e+03
8.547579298831385586e+01,1.284892235209228375e+03,1.268645552822750687e+03
8.520868113522537612e+01,1.282630250135548522e+03,1.266257868036216450e+03
8.494156928213688218e+01,1.280367789403588631e+03,1.263869707591401493e+03
8.467445742904841666e+01,1.278104853013348247e+03,1.261481071488306497e+03
8.440734557595993692e+01,1.275841440964827370e+03,1.259091959726930781e+03
8.414023372287144298e+01,1.273577553258026001e+03,1.256702372307274800e+03
8.387312186978296324e+01,1.271313189892944365e+03,1.254312309229338325e+03
8.360601001669448351e+01,1.269048350869582237e+03,1.251921770493121358e+03
8.333889816360600378e+01,1.266783036187939615e+03,1.249530756098624124e+03
8.307178631051752404e+01,1.264517245848016955e+03,1.247139266045846625e+03
8.280467445742904431e+01,1.262250979849813575e+03,1.244747300334788633e+03
8.253756260434056458e+01,1.259984238193329929e+03,1.242354858965450148e+03
8.227045075125208484e+01,1.257717020878565791e+03,1.239961941937831398e+03
8.200333889816360511e+01,1.255449327905521386e+03,1.237568549251932154e+03
8.173622704507512537e+01,1.253181159274196489e+03,1.235174680907752418e+03
8.146911519198664564e+01,1.250912514984591326e+03,1.232780336905292415e+03
8.120200333889815170e+01,1.248643395036705442e+03,1.230385517244551920e+03
8.093489148580968617e+01,1.246373799430539520e+03,1.227990221925531159e+03
8.066777963272119223e+01,1.244103728166092878e+03,1.225594450948229678e+03
8.040066777963271250e+01,1.241833181243365971e+03,1.223198204312648159e+03
8.013355592654424697e+01,1.239562158662358797e+03,1.220801482018786146e+03
7.986644407345575303e+01,1.237290660423070904e+03,1.218404284066643640e+03
7.959933222036727329e+01,1.235018686525502972e+03,1.216006610456220869e+03
7.933222036727879356e+01,1.232746236969654547e+03,1.213608461187517605e+03
7.906510851419031383e+01,1.230473311755525629e+03,1.211209836260533848e+03
7.879799666110183409e+01,1.228199910883116218e+03,1.208810735675269825e+03
7.853088480801334015e+01,1.225926034352426541e+03,1.206411159431725309e+03
7.826377295492487463e+01,1.223651682163456371e+03,1.204011107529900301e+03
7.799666110183639489e+01,1.221376854316205936e+03,1.201610579969795253e+03
7.772954924874790095e+01,1.219101550810675008e+03,1.199209576751409486e+03
7.746243739565943542e+01,1.216825771646863586e+03,1.196808097874743453e+03
7.719532554257095569e+01,1.214549516824771899e+03,1.194406143339796927e+03
7.692821368948246175e+01,1.212272786344399719e+03,1.192003713146570135e+03
7.666110183639398201e+01,1.209995580205747274e+03,1.189600807295062850e+03
7.639398998330551649e+01,1.207717898408814335e+03,1.187197425785275072e+03
7.612687813021702254e+01,1.205439740953601131e+03,1.184793568617207029e+03
7.585976627712854281e+01,1.203161107840107206e+03,1.182389235790858493e+03
7.559265442404006308e+01,1.200881999068333016e+03,1.179984427306229691e+03
7.532554257095158334e+01,1.198602414638278560e+03,1.177579143163320168e+03
7.505843071786310361e+01,1.196322354549943611e+03,1.175173383362130608e+03
7.479131886477460966e+01,1.194041818803328169e+03,1.172767147902660327e+03
